BCL6,BAZ2B
BCL6,BCL2A1
BCL6,BCL6
BCL6,BIRC5
BCL6,BRCA2
BCL6,BRD3
BCL6,C9orf72
BCL6,CAMK2D
BCL6,CCDC102B
BCL6,CCDC125
BCL6,CCDC138
BCL6,CCDC7
BCL6,CCNT2-AS1
BCL6,CCR7
BCL6,CD69
BCL6,CD96
BCL6,CDC14B
BCL6,CDC45
BCL6,CDK1
BCL6,CEBPA
BCL6,CENPM
BCL6,CENPP
BCL6,CEP126
BCL6,CMSS1
BCL6,CRADD
BCL6,CRB1
BCL6,CREBBP
BCL6,CTNNB1
BCL6,CTSC
BCL6,DAAM1
BCL6,DENND1A
BCL6,DLEU2
BCL6,DOCK8
BCL6,DUSP4
BCL6,DYNC2H1
BCL6,EAF2
BCL6,EIF1AY
BCL6,EIF1B-AS1
BCL6,ENPP2
BCL6,ETV6
BCL6,FAAH2
BCL6,FANK1
BCL6,FEN1
BCL6,FGD6
BCL6,FHIT
BCL6,FILIP1L
BCL6,FNBP1L
BCL6,FNDC3B
BCL6,FOS
BCL6,FOSB
BCL6,FOSL1
BCL6,GDAP1
BCL6,GEM
BCL6,GEN1
BCL6,GLCCI1
BCL6,GLCE
BCL6,GPCPD1
BCL6,GPHN
BCL6,GPRIN3
BCL6,GSTCD
BCL6,HEPACAM2
BCL6,HERC5
BCL6,HIF1A
BCL6,HMGB2
BCL6,HSP90B1
BCL6,IFI44
BCL6,IFRD1
BCL6,IL12RB2
BCL6,INVS
BCL6,IRAK3
BCL6,IRF1
BCL6,IRS2
BCL6,JAK2
BCL6,JUN
BCL6,JUNB
BCL6,KDM5D
BCL6,KIAA0825
BCL6,KIF14
BCL6,KLRG1
BCL6,LINC00476
BCL6,LINC00662
BCL6,LINC01550
BCL6,LINC01934
BCL6,LRIG2-DT
BCL6,LTA4H
BCL6,MAML3
BCL6,MAN1A1
BCL6,MCM7
BCL6,MCU
BCL6,MIS18BP1
BCL6,MLLT3
BCL6,MMS22L
BCL6,MND1
BCL6,MT2A
BCL6,MTHFD1L
BCL6,MXD1
BCL6,NEAT1
BCL6,NELFA
BCL6,NFIA
BCL6,NFKBIA
BCL6,NFKBIZ
