Gene1,Gene2
ARNT,SH2D4B
ARNT,SHF
ARNT,SLC16A3
ARNT,SLC25A39
ARNT,SLC25A45
ARNT,SMAD5
ARNT,SMARCD2
ARNT,SMC1A
ARNT,SNTB1
ARNT,SOCS3
ARNT,SP1
ARNT,SPATC1L
ARNT,STAT1
ARNT,STAT3
ARNT,STOML2
ARNT,SUPT7L
ARNT,TARDBP
ARNT,TBP
ARNT,TCF12
ARNT,TCF7
ARNT,TECPR2
ARNT,TESK1
ARNT,THAP9
ARNT,THOC6
ARNT,TLCD1
ARNT,TMEM79
ARNT,TRIM2
ARNT,TRIM28
ARNT,TRIM41
ARNT,TRIM65
ARNT,TSEN34
ARNT,TSR3
ARNT,TTC4
ARNT,TXLNB
ARNT,TXNIP
ARNT,UBXN1
ARNT,UNC5C
ARNT,USF1
ARNT,WDR6
ARNT,WDR74
ARNT,WNT10A
ARNT,WRAP53
ARNT,YBEY
ARNT,YBX1
ARNT,ZBTB40
ARNT,ZFAND2B
ARNT,ZMAT5
ARNT,ZMYM1
ARNT,ZMYND12
ARNT,ZNF295-AS1
ARNT,ZNF354A
ARNT,ZNF384
ARNT,ZNF408
ARNT,ZNF501
ARNT,ZNF524
ARNT,ZNF571
ARNT,ZNF653
ARNT,ZNF687
ASH2L,DRAM1
ASH2L,IKZF2
ASH2L,MAP1LC3B2
ASH2L,RHEBL1
ASH2L,SARS2
ASH2L,WDR74
ATF2,AAAS
ATF2,ABHD16A
ATF2,ACOT2
ATF2,ACP2
ATF2,ACTR3C
ATF2,ADAMTS13
ATF2,ADARB2
ATF2,AFF3
ATF2,AGMO
ATF2,AGPAT2
ATF2,ALDH16A1
ATF2,ALDH6A1
ATF2,ALKBH4
ATF2,AMACR
ATF2,ANO4
ATF2,ANXA2R
ATF2,AP3S2
ATF2,AP5S1
ATF2,APOC1
ATF2,ARFRP1
ATF2,ARHGAP24
ATF2,ARHGEF17
ATF2,ARMC4
ATF2,ASH2L
ATF2,ASPM
ATF2,ATF2
ATF2,ATF3
ATF2,ATF7
ATF2,B3GNT7
ATF2,BACH1
ATF2,BACH2
ATF2,BATF
ATF2,BCL11A
ATF2,BCLAF1
ATF2,BHLHE40
ATF2,BLOC1S1
ATF2,BOLA1
ATF2,BRCA1
ATF2,BRMS1
ATF2,BTBD8
ATF2,C11orf65
ATF2,C12orf73
ATF2,C1orf127
ATF2,C20orf27
ATF2,C20orf96
ATF2,C22orf46
ATF2,C3orf18
ATF2,C6orf226
ATF2,C6orf99
ATF2,CBX5
ATF2,CBX8
ATF2,CCDC157
ATF2,CCDC159
ATF2,CCDC88A
ATF2,CCL4
ATF2,CD38
ATF2,CD63
ATF2,CD72
ATF2,CDIP1
ATF2,CDK2AP2
ATF2,CEBPB
ATF2,CEBPZ
ATF2,CENPE
ATF2,CENPF
ATF2,CHD1
ATF2,CHRNA6
ATF2,CITED2
ATF2,CLK3
ATF2,CLN3
ATF2,CLUAP1
ATF2,CNPY4
ATF2,COMMD9
ATF2,CRAT
ATF2,CRB1
ATF2,CREB3L2
ATF2,CREB5
ATF2,CREM
ATF2,CRIM1
ATF2,CYP1B1
ATF2,CYS1
ATF2,DAZL
ATF2,DBNDD1
ATF2,DIAPH3
ATF2,DLG2
ATF2,DNAJB2
ATF2,DPM3
ATF2,DYNC2H1
ATF2,E2F4
ATF2,E2F8
ATF2,E4F1
ATF2,EBF1
ATF2,EED
ATF2,EFHB
ATF2,EFHD1
ATF2,EGR1
ATF2,EGR2
ATF2,EGR3
ATF2,EIF2AK3
ATF2,ELAVL3
ATF2,ELF1
ATF2,ELOF1
ATF2,EP300
ATF2,EPB41L4B
ATF2,EPHA6
ATF2,ETS1
ATF2,EVI2A
ATF2,FAM219B
ATF2,FAM3A
ATF2,FAM83A
ATF2,FBXO15
ATF2,FBXW5
ATF2,FCHO1
ATF2,FCRL5
ATF2,FIBP
ATF2,FKBPL
ATF2,FLRT3
ATF2,FLT3LG
ATF2,FOS
ATF2,FOSB
ATF2,FOSL2
ATF2,FOXK2
ATF2,FRMD4A
ATF2,GABARAPL1
ATF2,GDF9
ATF2,GEMIN7
ATF2,GLB1L
ATF2,GLCCI1
ATF2,GLI1
ATF2,GMPR
ATF2,GPR141
ATF2,GPR153
ATF2,GPR19
ATF2,GRHL3
ATF2,GS1-124K5.4
ATF2,GSPT2
ATF2,GTF2H4
ATF2,HCFC1
ATF2,HCG20
ATF2,HDAC2
ATF2,HENMT1
ATF2,HMGCL
ATF2,HTRA2
ATF2,IBA57
ATF2,IGSF8
ATF2,IKZF1
ATF2,IKZF2
ATF2,IL10
ATF2,IL1R1
ATF2,IL4
ATF2,ILK
ATF2,ING4
ATF2,INO80B
ATF2,IPO4
ATF2,IRF5
ATF2,ITGA4
ATF2,JUNB
ATF2,KCNN2
ATF2,KDM7A
ATF2,KHDC1
ATF2,KLF11
ATF2,KLHDC9
ATF2,LACTB2
ATF2,LARP7
ATF2,LENG9
ATF2,LETM2
ATF2,LILRB4
ATF2,LINC00431
ATF2,LINC00528
ATF2,LINC01140
ATF2,LIPT1
ATF2,LMNA
ATF2,LRRC43
ATF2,LRRK2
ATF2,LTB4R2
ATF2,LY6G5C
ATF2,LZTFL1
ATF2,LZTS3
ATF2,MAK
ATF2,MAP1LC3B2
ATF2,MAX
ATF2,MAZ
ATF2,MCOLN2
ATF2,MEA1
ATF2,MED1
ATF2,MED22
ATF2,MEF2A
ATF2,MEF2C
ATF2,MIR24-2
ATF2,MNT
ATF2,MRPL38
ATF2,MRPL43
ATF2,MRPS17
ATF2,MRPS33
ATF2,MST1
