Gene1,Gene2
AFF1,RPS27L
AFF1,S100Z
AFF1,SAP30
AFF1,SCG2
AFF1,SDSL
AFF1,SETDB1
AFF1,SGSM3
AFF1,SH2B1
AFF1,SH3BGR
AFF1,SLC24A1
AFF1,SLC25A45
AFF1,SLC29A2
AFF1,SLFN14
AFF1,SNIP1
AFF1,SNORD3D
AFF1,SOX6
AFF1,SPATA5
AFF1,SRSF11
AFF1,SRSF3
AFF1,SRSF7
AFF1,SSBP1
AFF1,SUPT4H1
AFF1,TAF1D
AFF1,TAF6
AFF1,TAL1
AFF1,TARBP2
AFF1,TFAM
AFF1,THAP1
AFF1,THAP5
AFF1,THAP8
AFF1,THRAP3
AFF1,TMEM115
AFF1,TMEM208
AFF1,TMEM258
AFF1,TOX4
AFF1,TP53
AFF1,TPR
AFF1,TRIM16L
AFF1,TSNAXIP1
AFF1,TSPAN31
AFF1,U2SURP
AFF1,UBE2V1
AFF1,VGF
AFF1,VPS13B
AFF1,WDR55
AFF1,YTHDC1
AFF1,ZBTB26
AFF1,ZBTB40
AFF1,ZBTB6
AFF1,ZCCHC7
AFF1,ZEB2
AFF1,ZFP1
AFF1,ZKSCAN3
AFF1,ZKSCAN8
AFF1,ZNF112
AFF1,ZNF133
AFF1,ZNF143
AFF1,ZNF148
AFF1,ZNF165
AFF1,ZNF17
AFF1,ZNF174
AFF1,ZNF181
AFF1,ZNF184
AFF1,ZNF223
AFF1,ZNF225
AFF1,ZNF227
AFF1,ZNF230
AFF1,ZNF235
AFF1,ZNF239
AFF1,ZNF280A
AFF1,ZNF3
AFF1,ZNF311
AFF1,ZNF354B
AFF1,ZNF398
AFF1,ZNF408
AFF1,ZNF416
AFF1,ZNF444
AFF1,ZNF449
AFF1,ZNF45
AFF1,ZNF497
AFF1,ZNF501
AFF1,ZNF512
AFF1,ZNF530
AFF1,ZNF548
AFF1,ZNF551
AFF1,ZNF571
AFF1,ZNF582
AFF1,ZNF583
AFF1,ZNF584
AFF1,ZNF586
AFF1,ZNF589
AFF1,ZNF649
AFF1,ZNF691
AFF1,ZNF717
AFF1,ZNF780A
AFF1,ZNF79
AFF1,ZNF830
AFF1,ZNF84
AFF1,ZSCAN20
AFF1,ZSCAN32
AGO1,ACTL6B
AGO1,ADK
AGO1,AFF1
AGO1,AIG1
AGO1,ANKRD12
AGO1,ANKRD46
AGO1,AOX1
AGO1,APOM
AGO1,ARAP1
AGO1,BBS10
AGO1,BIRC6
AGO1,BOLA3
AGO1,BPTF
AGO1,C12orf57
AGO1,C16orf46
AGO1,C19orf67
AGO1,C2orf68
AGO1,CACTIN
AGO1,CALHM2
AGO1,CAMK1
AGO1,CAMTA2
AGO1,CBX1
AGO1,CCAR2
AGO1,CDC73
AGO1,CDK4
AGO1,CELSR3
AGO1,CENPE
AGO1,CEP192
AGO1,CHD4
AGO1,CHD9
AGO1,CLIC3
AGO1,CLTC
AGO1,COMMD5
AGO1,CREB3
AGO1,CRELD1
AGO1,CTHRC1
AGO1,CTNNB1
AGO1,CYB561A3
AGO1,DDX21
AGO1,DDX46
AGO1,DECR2
AGO1,DHPS
AGO1,DIAPH1
AGO1,DIDO1
AGO1,DMAP1
AGO1,DNAH14
AGO1,DSN1
AGO1,E4F1
AGO1,EFCAB12
AGO1,ELK1
AGO1,FAM131A
AGO1,FAM219B
AGO1,FAM229A
AGO1,FAM53A
AGO1,FBXO6
AGO1,FUS
AGO1,GABARAP
AGO1,GANAB
AGO1,GIPC3
AGO1,GOLGA4
AGO1,GORASP1
AGO1,GPAA1
AGO1,GTF2A2
AGO1,GTF2H2
AGO1,HDAC1
AGO1,HILPDA
AGO1,HNRNPA2B1
AGO1,HNRNPH1
AGO1,HNRNPL
AGO1,HSD17B8
AGO1,HSP90AA1
AGO1,JMJD8
AGO1,KANK3
AGO1,KHSRP
AGO1,KPTN
AGO1,LRPPRC
AGO1,LRRC24
AGO1,LRRC46
AGO1,LUC7L3
AGO1,MAMDC4
AGO1,MAN2C1
AGO1,MATR3
AGO1,MBD1
AGO1,MBNL1
AGO1,MCM7
AGO1,MEN1
AGO1,MOSPD3
AGO1,MPHOSPH8
AGO1,MSH4
AGO1,MTA2
AGO1,MTF1
AGO1,MTF2
AGO1,MTG1
AGO1,MXD1
AGO1,NABP2
AGO1,NANS
AGO1,NBN
AGO1,NDUFS3
AGO1,NELFA
AGO1,NUBP2
AGO1,NUP153
AGO1,NUP214
AGO1,ORC2
AGO1,PARP3
AGO1,PCBD2
AGO1,PCBP2
AGO1,PHF19
AGO1,PHTF2
AGO1,PI4KA
AGO1,PIGO
AGO1,PKP4
AGO1,PRAME
AGO1,PSME1
AGO1,PTBP3
AGO1,PYGO2
AGO1,RABGEF1
AGO1,RAD51
AGO1,RBM14
AGO1,RFXANK
AGO1,RIF1
AGO1,RLF
AGO1,RUVBL2
AGO1,SAFB2
AGO1,SAMD14
AGO1,SCO2
AGO1,SEC61A2
AGO1,SETX
AGO1,SGSM3
AGO1,SH2B1
AGO1,SH3BGR
AGO1,SIX5
AGO1,SMIM4
AGO1,SND1
AGO1,SNF8
AGO1,SNRNP70
AGO1,SNX17
AGO1,SP2
AGO1,SREBF2
AGO1,SRSF11
AGO1,SRSF4
AGO1,SSH3
AGO1,STAG1
AGO1,STAT5B
AGO1,STON1
AGO1,STX16-NPEPL1
AGO1,SUPT4H1
AGO1,SUPT5H
AGO1,TAF6
AGO1,TAF9B
AGO1,TARBP2
AGO1,TARDBP
AGO1,TBC1D5
AGO1,TCIRG1
AGO1,TFAM
AGO1,TFRC
AGO1,THAP3
AGO1,THAP8
AGO1,TIGD2
AGO1,TMEM115
AGO1,TMEM150A
AGO1,TMEM25
AGO1,TOE1
AGO1,TOMM20L
AGO1,TTC17
AGO1,TTLL3
AGO1,TUSC2
AGO1,U2AF1
AGO1,USP15
AGO1,USP21
AGO1,USP6
AGO1,VCL
AGO1,VEZF1
AGO1,VGF
AGO1,WDR55
AGO1,YBX1
AGO1,ZBTB11
AGO1,ZBTB17
AGO1,ZC3H10
AGO1,ZNF212
AGO1,ZNF239
AGO1,ZNF24
AGO1,ZNF250
AGO1,ZNF280B
AGO1,ZNF3
AGO1,ZNF324
AGO1,ZNF398
AGO1,ZNF410
AGO1,ZNF501
AGO1,ZNF575
AGO1,ZNF583
AGO1,ZNF584
AGO1,ZNF596
AGO1,ZNF655
AGO1,ZNF691
AGO1,ZNF75A
AGO1,ZNF799
AGO1,ZSCAN2
AGO1,ZZZ3
ARHGAP35,AGA
ARHGAP35,ATF2
ARHGAP35,C12orf57
ARHGAP35,C22orf34
ARHGAP35,CDC5L
ARHGAP35,CSDE1
ARHGAP35,DDX20
ARHGAP35,HNRNPA2B1
ARHGAP35,KBTBD6
ARHGAP35,LINC01029
ARHGAP35,MAGEA6
ARHGAP35,MAPK14
ARHGAP35,MATR3
ARHGAP35,NCOA4
ARHGAP35,PRAME
ARHGAP35,RBM39
ARHGAP35,RBPJ
ARHGAP35,SMARCA5
ARHGAP35,SMDT1
ARHGAP35,SUPT5H
ARHGAP35,TAF1D
ARHGAP35,THAP1
ARHGAP35,UHRF2
ARHGAP35,ZZZ3
ARID1B,ABHD16A
ARID1B,ACTL6B
ARID1B,ADAMTS10
ARID1B,ADAMTS3
ARID1B,ADK
ARID1B,ADRA1A
ARID1B,ADTRP
ARID1B,AFF1
ARID1B,AGA
ARID1B,AKAP9
ARID1B,ANK1
ARID1B,ANKRD17
ARID1B,ANXA2R
ARID1B,AP4B1
ARID1B,APOBEC3D
ARID1B,APOM
ARID1B,ARAP1
ARID1B,ARHGAP6
ARID1B,ASH1L
ARID1B,ASL
ARID1B,ATF2
ARID1B,ATF3
ARID1B,BATF2
ARID1B,BBS10
ARID1B,BCL6
ARID1B,BCLAF1
